You are now connected to database "strava" as user "andrew-boyce".
 activity_id |                         name                          | distance | moving_time | elapsed_time |    type     |          sport_type           | location_country | kudos_count | suffer_score |        date         
-------------+-------------------------------------------------------+----------+-------------+--------------+-------------+-------------------------------+------------------+-------------+--------------+---------------------
           1 | So many tourists                                      |  16253.2 |        2846 |         3062 | Ride        | Ride                          | United Kingdom   |          14 |           14 | 2025-01-25 13:17:56
           2 | Forgot my helmet, had to go back                      |  18582.9 |        3550 |         3887 | Ride        | Ride                          | United Kingdom   |          13 |           11 | 2025-01-24 15:02:46
           3 | WU/2 x 10 mins @ 3:45 pace w/ 3 mins rest/CD          |   9850.6 |        2612 |         2622 | Run         | Run                           | United Kingdom   |          17 |           85 | 2025-01-23 16:07:12
           4 | So many activities                                    |  10227.4 |        1699 |         1715 | Ride        | Ride                          | United Kingdom   |          10 |           18 | 2025-01-22 20:11:39
           5 | Social badminton                                      |     76.9 |        4662 |         4662 | Workout     | Badminton                     | United Kingdom   |          12 |           11 | 2025-01-22 18:52:21
           6 | Ride to badminton                                     |  10188.3 |        1936 |         2022 | Ride        | Ride                          | United Kingdom   |           9 |            6 | 2025-01-22 17:40:58
           7 | Yoga with Ellie and Adriene                           |        0 |        1668 |         1668 | Workout     | Yoga                          | United Kingdom   |           7 |            1 | 2025-01-22 16:37:24
           8 | Zone 2 😎                                             |  10028.8 |        2990 |         3019 | Run         | Run                           | United Kingdom   |          18 |           59 | 2025-01-21 17:44:31
           9 | Mini biathlon part 1                                  |  16180.8 |        2744 |         3136 | Ride        | Ride                          | United Kingdom   |          11 |           24 | 2025-01-21 16:36:05
          10 | Quick turbo                                           |    15870 |        1801 |         1801 | Ride        | Ride                          | United Kingdom   |           7 |           35 | 2025-01-20 17:48:24
          11 | Switching up the route                                |  16032.6 |        2802 |         2970 | Ride        | Ride                          | United Kingdom   |          11 |           18 | 2025-01-20 10:23:29
          12 | Dart across London                                    |    17233 |        3058 |         3277 | Ride        | Ride                          | United Kingdom   |          11 |           23 | 2025-01-18 16:56:31
          13 | Southwark Parkrun with Calum and Gavin                |  19120.4 |        6213 |         7573 | Run         | Run                           | United Kingdom   |          18 |           56 | 2025-01-18 08:27:06
          14 | Nightrider                                            |   6810.2 |         988 |          988 | Ride        | Ride                          | United Kingdom   |           8 |            2 | 2025-01-16 22:00:52
          15 | Quick half-arsed HIIT with Jack                       |        0 |        1323 |         1323 | Workout     | HighIntensityIntervalTraining | United Kingdom   |           8 |            4 | 2025-01-16 18:50:16
          16 | Quick dart to Jack's                                  |   6942.1 |        1124 |         1180 | Ride        | Ride                          | United Kingdom   |           9 |            9 | 2025-01-16 18:07:44
          17 | WU/4 x 1 km/CD                                        |   9835.2 |        2745 |         2760 | Run         | Run                           | United Kingdom   |          17 |           83 | 2025-01-16 14:22:15
          18 | Easy hourish in the new gaff                          |  34919.4 |        3963 |         3963 | Ride        | Ride                          | United Kingdom   |          12 |           52 | 2025-01-15 18:06:04
          19 | Strength E                                            |        0 |        3020 |         3020 | Workout     | WeightTraining                | United Kingdom   |           9 |            8 | 2025-01-14 16:55:12
          20 | Urban Hiking                                          |   5565.2 |        4189 |         4293 | Hike        | Hike                          | United Kingdom   |          11 |            6 | 2025-01-14 14:32:39
          21 | The usual route, saw a scene from police interceptors |   8906.4 |        2982 |         3022 | Run         | TrailRun                      | United Kingdom   |          13 |           53 | 2025-01-13 15:37:16
          22 | Sunday Cycle                                          |  52185.3 |        5411 |         5411 | VirtualRide | VirtualRide                   | United Kingdom   |          11 |           89 | 2025-01-12 12:15:02
          23 | Zone 2 in sub 2°                                      |   8896.5 |        2917 |         2944 | Run         | TrailRun                      | United Kingdom   |          12 |           51 | 2025-01-11 15:26:24
          24 | VO2, so cold                                          |  24151.9 |        2461 |         2461 | VirtualRide | VirtualRide                   | United Kingdom   |          14 |           42 | 2025-01-10 16:06:46
          25 | Getting out of zone 2                                 |   8896.4 |        2577 |         2587 | Run         | TrailRun                      | United Kingdom   |          13 |          106 | 2025-01-09 15:25:09
          26 | 1 hour Z2 + injury time                               |  41978.9 |        4344 |         4344 | VirtualRide | VirtualRide                   | United Kingdom   |          10 |           49 | 2025-01-08 19:44:35
          27 | Ice, mud and a new handrail                           |   8929.1 |        3147 |         3223 | Run         | TrailRun                      | United Kingdom   |          13 |           42 | 2025-01-07 15:53:33
          28 | Park was an icy mudfest                               |   4888.6 |        1556 |         1620 | Run         | TrailRun                      | United Kingdom   |          12 |           36 | 2025-01-05 15:47:35
          29 | Finally home for some warmth                          |   8668.1 |        1418 |         1418 | Ride        | Ride                          | United Kingdom   |          14 |           37 | 2025-01-04 14:22:25
          30 | An icy day on the downs with Calum                    |  81715.6 |       12087 |        13314 | Ride        | Ride                          | United Kingdom   |          18 |          125 | 2025-01-04 09:38:36
          31 | Train was 50 mins late so cycled instead              |   7317.8 |        1167 |         1193 | Ride        | Ride                          | United Kingdom   |          10 |            4 | 2025-01-04 08:12:42
          32 | Z2 - watch and turbo not talking properly             |  27147.7 |        3602 |         3602 | Ride        | Ride                          | United Kingdom   |           8 |           44 | 2025-01-03 14:05:42
